
ABSOLUTE ERROR ANALYSIS REPORT - Cl CALCULATION
===========================================================
Date: 2026-02-22 00:01:52

1. GLOBAL ERROR STATISTICS
----------------------------------
Tolerance adopted: 0.0095.
Total observations: 74.
Observations above tolerance: 74.
Percentage above tolerance: 100.00%.

2. OBSERVATIONS ABOVE TOLERANCE
----------------------------------
Re=100000     | AoA=14     | y=0.0131   | Cl=1.5759     | AbsError=0.242792
Re=100000     | AoA=14     | y=0.0392   | Cl=1.5755     | AbsError=0.093720
Re=100000     | AoA=14     | y=0.0653   | Cl=1.5746     | AbsError=0.094620
Re=100000     | AoA=14     | y=0.0914   | Cl=1.5733     | AbsError=0.952943
Re=100000     | AoA=14     | y=0.1175   | Cl=1.5715     | AbsError=0.366412
Re=100000     | AoA=14     | y=0.1436   | Cl=1.5695     | AbsError=0.105355
Re=100000     | AoA=14     | y=0.1697   | Cl=1.5670     | AbsError=0.042746
Re=100000     | AoA=14     | y=0.1958   | Cl=1.5642     | AbsError=0.069841
Re=200000     | AoA=14     | y=0.0131   | Cl=1.5759     | AbsError=0.141699
Re=200000     | AoA=14     | y=0.0392   | Cl=1.5755     | AbsError=0.114757
Re=200000     | AoA=14     | y=0.0653   | Cl=1.5746     | AbsError=0.115657
Re=200000     | AoA=14     | y=0.0914   | Cl=1.5733     | AbsError=0.066453
Re=200000     | AoA=14     | y=0.1175   | Cl=1.5715     | AbsError=1.670423
Re=200000     | AoA=14     | y=0.1436   | Cl=1.5695     | AbsError=0.079521
Re=200000     | AoA=14     | y=0.1697   | Cl=1.5670     | AbsError=0.088211
Re=200000     | AoA=14     | y=0.1958   | Cl=1.5642     | AbsError=0.099925
Re=400000     | AoA=14     | y=0.0131   | Cl=1.5759     | AbsError=0.157772
Re=400000     | AoA=14     | y=0.0914   | Cl=1.5733     | AbsError=0.167566
Re=400000     | AoA=14     | y=0.1175   | Cl=1.5715     | AbsError=0.536746
Re=400000     | AoA=14     | y=0.1436   | Cl=1.5695     | AbsError=0.074241
Re=400000     | AoA=14     | y=0.1697   | Cl=1.5670     | AbsError=2.770763
Re=400000     | AoA=14     | y=0.1958   | Cl=1.5642     | AbsError=0.151538
Re=100000     | AoA=16     | y=0.0131   | Cl=1.7404     | AbsError=0.313495
Re=100000     | AoA=16     | y=0.0392   | Cl=1.7400     | AbsError=0.313895
Re=100000     | AoA=16     | y=0.0653   | Cl=1.7390     | AbsError=1.240925
Re=100000     | AoA=16     | y=0.0914   | Cl=1.7377     | AbsError=0.368932
Re=100000     | AoA=16     | y=0.1175   | Cl=1.7359     | AbsError=0.285639
Re=100000     | AoA=16     | y=0.1436   | Cl=1.7336     | AbsError=0.767108
Re=100000     | AoA=16     | y=0.1697   | Cl=1.7310     | AbsError=1.001919
Re=100000     | AoA=16     | y=0.1958   | Cl=1.7280     | AbsError=0.229565
Re=200000     | AoA=16     | y=0.0131   | Cl=1.7404     | AbsError=0.232802
Re=200000     | AoA=16     | y=0.0392   | Cl=1.7400     | AbsError=0.233202
Re=200000     | AoA=16     | y=0.0653   | Cl=1.7390     | AbsError=0.186372
Re=200000     | AoA=16     | y=0.0914   | Cl=1.7377     | AbsError=0.718288
Re=200000     | AoA=16     | y=0.1175   | Cl=1.7359     | AbsError=0.158941
Re=200000     | AoA=16     | y=0.1436   | Cl=1.7336     | AbsError=0.236633
Re=200000     | AoA=16     | y=0.1697   | Cl=1.7310     | AbsError=0.233310
Re=200000     | AoA=16     | y=0.1958   | Cl=1.7280     | AbsError=0.301273
Re=400000     | AoA=16     | y=0.0131   | Cl=1.7404     | AbsError=0.029524
Re=400000     | AoA=16     | y=0.0392   | Cl=1.7400     | AbsError=0.029924
Re=400000     | AoA=16     | y=0.0653   | Cl=1.7390     | AbsError=0.566273
Re=400000     | AoA=16     | y=0.0914   | Cl=1.7377     | AbsError=0.237217
Re=400000     | AoA=16     | y=0.1175   | Cl=1.7359     | AbsError=0.332357
Re=400000     | AoA=16     | y=0.1436   | Cl=1.7336     | AbsError=0.243002
Re=400000     | AoA=16     | y=0.1697   | Cl=1.7310     | AbsError=0.145369
Re=400000     | AoA=16     | y=0.1958   | Cl=1.7280     | AbsError=3.837631
Re=700000     | AoA=16     | y=0.0914   | Cl=1.7377     | AbsError=0.067499
Re=700000     | AoA=16     | y=0.1175   | Cl=1.7359     | AbsError=0.294404
Re=1000000    | AoA=16     | y=0.0131   | Cl=1.7404     | AbsError=0.298745
Re=1000000    | AoA=16     | y=0.0392   | Cl=1.7400     | AbsError=0.299145
Re=1000000    | AoA=16     | y=0.0653   | Cl=1.7390     | AbsError=0.422574
Re=1000000    | AoA=16     | y=0.1436   | Cl=1.7336     | AbsError=0.399864
Re=100000     | AoA=18     | y=0.0131   | Cl=1.9011     | AbsError=0.365417
Re=100000     | AoA=18     | y=0.0392   | Cl=1.9007     | AbsError=0.365817
Re=100000     | AoA=18     | y=0.0653   | Cl=1.8998     | AbsError=0.693317
Re=100000     | AoA=18     | y=0.0914   | Cl=1.8983     | AbsError=0.241477
Re=100000     | AoA=18     | y=0.1175   | Cl=1.8964     | AbsError=0.750711
Re=100000     | AoA=18     | y=0.1436   | Cl=1.8941     | AbsError=1.560558
Re=100000     | AoA=18     | y=0.1697   | Cl=1.8913     | AbsError=1.326964
Re=100000     | AoA=18     | y=0.1958   | Cl=1.8881     | AbsError=2.169179
