s	x		
A1	0.142	-4.424	0.393930602
A2	0.282	-48.917	0.209523533
A3	0.415	-369.056	-1.117334505
A4	0.541	-49.984	0.205101212
A5	0.655	-443.446	-1.425653608
A6	0.756	-530.425	-1.786149472
A7	0.841	-4.28	0.394527429
A8	0.91	-50.036	0.204885691
A9	0.959	-5.628	0.388940467
A10	0.99	-329.484	-0.953323165
A11	1	25.128	0.516412739
A12	0.99	93.717	0.800688838
A13	0.959	-50.521	0.202875545
A14	0.91	-9.748	0.371864587
A15	0.841	-22.458	0.319186326
A16	0.756	-25.141	0.308066281
A17	0.655	-5.439	0.389723802
A18	0.541	-27.366	0.298844477
A19	0.415	-34.499	0.269280824
A20	0.282	-50.1	0.204620435
B1	0.142	-5.012	0.391493559
B2	0.282	-5.271	0.3904201
B3	0.415	-295.349	-0.811846184
B4	0.541	-413.012	-1.299515907
B5	0.655	-458.845	-1.489476782
B6	0.756	-182.972	-0.346084982
B7	0.841	-478.551	-1.571150881
B8	0.91	-481.609	-1.583825163
B9	0.959	-68.522	0.128268042
B10	0.99	-492.803	-1.630220163
B11	1	-102.649	-0.013175782
B12	0.99	132.356	0.960833237
B13	0.959	91.351	0.790882641
B14	0.91	20.077	0.495478208
B15	0.841	-48.886	0.209652017
B16	0.756	-6.9	0.383668496
B17	0.655	-9.046	0.374774118
B18	0.541	-14.155	0.353599198
B19	0.415	-4.22	0.394776107
B20	0.282	-24.691	0.309931365
		-6.479	0.385413386
C1	0.142	-5.868	0.387945755
C2	0.282	-253.182	-0.637079527
C3	0.415	-337.083	-0.984818216
C4	0.541	-368.536	-1.115179297
C5	0.655	-386.815	-1.190939008
C6	0.756	-5.538	0.389313483
C7	0.841	-187.415	-0.364499577
C8	0.91	-9.415	0.373244749
C9	0.959	-56.67	0.177390209
C10	0.99	-29.723	0.289075581
C11	1	89.49	0.783169482
C12	0.99	31.984	0.544828329
C13	0.959	-37.098	0.258508928
C14	0.91	-41.996	0.238208525
C15	0.841	-47.245	0.216453356
C16	0.756	-47.265	0.216370464
C47	0.655	-46.668	0.218844808
C18	0.541	-44.073	0.229600126
C19	0.415	-42.523	0.236024304
C20	0.282	-45.291	0.224551965
		-6.563	0.385065236
	estatica	-99.47	0
	total	141.806	1
	dinamica	241.276	1.41226645
