number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_dropout_rate,params_learning_rate,params_n_layers,params_optimizer,params_reg_type,params_units_layer0,params_units_layer1,params_units_layer2,params_units_layer3,params_units_layer4,params_units_layer5,params_units_layer6,params_units_layer7,params_units_layer8,state
0,0.0016516226654251416,2026-02-10 11:43:28.004364,2026-02-10 11:49:48.029537,0 days 00:06:20.025173,tanh,64,,0.001,3,Nadam,Batch Normalization,256,160,192.0,,,,,,,COMPLETE
1,0.007205240738888581,2026-02-10 11:49:48.029537,2026-02-10 12:02:32.089896,0 days 00:12:44.060359,swish,32,0.2,1e-05,7,Adam,Dropout,96,64,160.0,160.0,96.0,160.0,160.0,,,COMPLETE
2,0.001016502152197063,2026-02-10 12:02:32.089896,2026-02-10 12:18:27.752120,0 days 00:15:55.662224,swish,32,,0.0001,5,Nadam,Batch Normalization,96,192,64.0,160.0,256.0,,,,,COMPLETE
3,0.0006840398612742623,2026-02-10 12:18:27.752120,2026-02-10 12:24:57.603212,0 days 00:06:29.851092,gelu,128,0.1,0.001,9,Nadam,Dropout,128,224,128.0,96.0,128.0,256.0,32.0,192.0,32.0,COMPLETE
4,0.0006401738016090045,2026-02-10 12:24:57.617124,2026-02-10 12:36:42.699241,0 days 00:11:45.082117,gelu,32,,0.001,2,Nadam,Batch Normalization,128,160,,,,,,,,COMPLETE
5,0.0006723898307730755,2026-02-10 12:36:42.699241,2026-02-10 12:42:43.979831,0 days 00:06:01.280590,swish,128,0.2,0.001,9,Nadam,Dropout,160,224,128.0,96.0,96.0,160.0,128.0,96.0,192.0,COMPLETE
6,0.021494620169202488,2026-02-10 12:42:43.979831,2026-02-10 12:45:42.657729,0 days 00:02:58.677898,tanh,128,0.1,0.0001,2,Nadam,Dropout,32,224,,,,,,,,COMPLETE
7,0.010145529794196287,2026-02-10 12:45:42.657729,2026-02-10 12:56:37.428122,0 days 00:10:54.770393,tanh,32,0.1,1e-05,4,Nadam,Dropout,192,64,224.0,64.0,,,,,,COMPLETE
8,0.0067166804025570554,2026-02-10 12:56:37.429642,2026-02-10 13:09:13.209183,0 days 00:12:35.779541,gelu,32,0.2,1e-05,4,Nadam,Dropout,64,96,128.0,224.0,,,,,,COMPLETE
9,0.0038557809311896563,2026-02-10 13:09:13.226954,2026-02-10 13:22:36.230322,0 days 00:13:23.003368,swish,128,,1e-05,9,Nadam,Batch Normalization,256,96,160.0,256.0,192.0,64.0,192.0,64.0,256.0,COMPLETE
